id,connections,label,group,relationship_type,era,notable_context
taylor_swift,travis_kelce|joe_alwyn|tom_hiddleston|calvin_harris|jake_gyllenhaal|selena_gomez|gigi_hadid|blake_lively|ed_sheeran|jack_antonoff|max_martin|aaron_dessner|scott_borchetta|scooter_braun|republic_records|ryan_reynolds|karlie_kloss|beyonce|paul_mccartney,Taylor Swift,center,center,All Eras,"14 Grammys; billionaire from music alone; Eras Tour grossed $2B+"
travis_kelce,taylor_swift|blake_lively|ryan_reynolds|patrick_mahomes|jason_kelce,Travis Kelce,romantic,partner,2023-present,"NFL tight end; Kansas City Chiefs; relationship boosted NFL viewership 63% among women"
joe_alwyn,taylor_swift,Joe Alwyn,romantic,ex_partner,2017-2023,"British actor; inspired Folklore and Evermore; credited as William Bowery on songwriting"
tom_hiddleston,taylor_swift|calvin_harris,Tom Hiddleston,romantic,ex_partner,2016,"Loki actor; whirlwind 3-month romance; wore 'I Heart T.S.' tank top"
calvin_harris,taylor_swift|tom_hiddleston,Calvin Harris,romantic,ex_partner,2015-2016,"DJ/producer; collaborated on 'This Is What You Came For'; messy public breakup"
jake_gyllenhaal,taylor_swift,Jake Gyllenhaal,romantic,ex_partner,2010-2011,"Actor; inspired All Too Well (10-minute version); red scarf became cultural phenomenon"
selena_gomez,taylor_swift|justin_bieber|gigi_hadid|karlie_kloss,Selena Gomez,squad,best_friend,2008-present,"Longest celebrity friendship; met at Jonas Brothers concert age 15; 'she's my person'"
gigi_hadid,taylor_swift|selena_gomez|karlie_kloss|blake_lively|zayn_malik,Gigi Hadid,squad,best_friend,2014-present,"Supermodel; squad original member; walked in VS show with Taylor watching"
blake_lively,taylor_swift|ryan_reynolds|travis_kelce|gigi_hadid,Blake Lively,squad,best_friend,2015-present,"Actress; Taylor is godmother to her children; couples dates with Travis/Ryan"
ed_sheeran,taylor_swift|jack_antonoff|max_martin,Ed Sheeran,collaborator,creative_partner,2012-present,"3 duets; 'Everything Has Changed' to 'The Joker and the Queen'; mutual admiration"
jack_antonoff,taylor_swift|ed_sheeran|aaron_dessner|max_martin|lorde,Jack Antonoff,producer,creative_partner,2014-present,"Produced Midnights, 1989 TV, Reputation TV; Bleachers frontman; her primary producer"
max_martin,taylor_swift|jack_antonoff|ed_sheeran,Max Martin,producer,creative_partner,2014-present,"Swedish hitmaker; 'Shake It Off' and 'Blank Space'; most #1 hits after Lennon-McCartney"
aaron_dessner,taylor_swift|jack_antonoff|justin_vernon,Aaron Dessner,producer,creative_partner,2020-present,"The National guitarist; built Folklore in secret during lockdown; indie pivot architect"
scott_borchetta,taylor_swift|scooter_braun,Scott Borchetta,business,former_label,2005-2018,"Big Machine Records founder; discovered Taylor at 14; sold her masters without consent"
scooter_braun,scott_borchetta|justin_bieber|kanye_west,Scooter Braun,business,adversary,2019-2020,"Bought Taylor's masters for $300M; triggered re-recording movement; retired from management 2023"
republic_records,taylor_swift,Republic Records,business,current_label,2018-present,"Universal Music Group; Taylor owns all masters from Lover onward; re-recording deal"
ryan_reynolds,blake_lively|travis_kelce|taylor_swift,Ryan Reynolds,squad,friend,2015-present,"Actor/entrepreneur; Taylor used 'Love Story' in Aviation Gin ad; double dates"
karlie_kloss,selena_gomez|gigi_hadid|taylor_swift|joshua_kushner,Karlie Kloss,squad,former_friend,2013-2018,"Supermodel; friendship ended amid Kushner/political tensions; inspired possible songs"
beyonce,taylor_swift|kanye_west|jay_z,Beyonce,music,mutual_respect,2009-present,"2009 VMAs interrupted by Kanye; Taylor gave Grammy speech honoring Beyonce; mutual admiration"
paul_mccartney,taylor_swift|beyonce,Paul McCartney,music,inspiration,2020-present,"Beatles legend; praised Taylor's re-recording strategy; mutual Rolling Stone interviews"
justin_bieber,selena_gomez|scooter_braun,Justin Bieber,conflict_network,connected,2010-2018,"Selena's ex; managed by Scooter Braun; indirect tension point in Taylor/Scooter conflict"
kanye_west,scooter_braun|beyonce|jay_z|kim_kardashian,Kanye West,conflict_network,adversary,2009-2016,"'Imma let you finish' VMAs; Famous phone call scandal; decade-long public feud"
kim_kardashian,kanye_west,Kim Kardashian,conflict_network,adversary,2016,"Leaked edited phone call; #TaylorSwiftIsOverParty; Taylor disappeared for a year"
jay_z,beyonce|kanye_west,Jay-Z,music,connected,2009-present,"Beyonce's husband; hip-hop mogul; connected through VMAs incident and industry"
zayn_malik,gigi_hadid,Zayn Malik,romantic_adjacent,connected,2015-2021,"Former One Direction; dated Gigi; 'I Don't Wanna Live Forever' duet with Taylor"
jason_kelce,travis_kelce,Jason Kelce,family,connected,2023-present,"Travis's brother; retired Eagles center; New Heights podcast became Taylor-adjacent phenomenon"
patrick_mahomes,travis_kelce,Patrick Mahomes,sports,connected,2023-present,"Chiefs QB; teammate; Brittany & Taylor friendship at games; power couple squared"
lorde,jack_antonoff,Lorde,music,connected,2017-present,"Jack Antonoff produces both; indie crossover; Taylor praised Pure Heroine"
justin_vernon,aaron_dessner,Justin Vernon,music,collaborator,2020,"Bon Iver; featured on Exile (Folklore); Aaron Dessner connection; indie credibility"
joshua_kushner,karlie_kloss,Joshua Kushner,political,connected,2018-present,"Karlie's husband; Jared Kushner's brother; political tensions strained Taylor/Karlie friendship"
